" But cart has some errors."," 但是購物車有些錯誤"
" Note: Image size affects the performance of your app."," 注意：圖片大小會影響您App的表現。"
"""Description"" is more than %d characters long","""描述""多於 %d 個字符長度"
"""Title"" is more than %d characters long","""標題""多於 %d 個字符長度"
"""id"" attribute is required for a ""%s"" field.","""id"" attribute is required for a ""%s"" field"
"""line_count"" attribute is required for ""multiline"" element.","""multiline""元素需要""line_count""屬性  "
"""message"" attribute is required for ""%s"" validator rule.","""%s"" 驗證規則需要 ""message"" 屬性 "
"%1$s has been added to your wishlist.","%1$s 已經加入您的待購清單"
"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping.","%1$s 已經加入您的待購清單，點選 <a href="%2$s">這裡</a> 繼續購物"
"%1$s incl tax.","%1$s 含稅"
"%@ is not correct","%@ 不正確"
"%s API Key required.","%s API 必填金鑰"
"%s Application ID required.","%s 必填應用程式代號"
"%s Secret Key required.","%s 必填安全金鑰"
"%s attribute is required.","%s 必填屬性"
"%s fields is required","%s fields is required"
"%s has been added to your cart.","%s 已經加入購物車"
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s 已經更新在你的購物車."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","（包含不在下列列表中的國家。作為應用程式的所有者，您有責任遵包含您的祖國在內守各國，對於銷售應用程式時的相關法律。）"
"* - field is required","* - field is required"
"*Subject to change","*如有變更"
"1. Please select type of the action:","1. 請選擇指令:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. 請選擇頁面"
"2. Type Category Name","2. 輸入分類名稱"
"2. Type Product Name","2. 輸入產品名稱"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">登錄</a> Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","只展示型錄的 App 不會提供像是加入購物車、加入待購清單或登入等功能"
"A new password has been sent.","已經送出新密碼"
"About","有關"
"Access forbidden","禁止訪問"
"Account","帳戶"
"Account Information","帳號資訊"
"Account Settings","帳號設定"
"Account confirmation is required. Please check your email for the confirmation link.","需要帳號認證，請確E-mail中的認證連結"
"Account information has been saved.","帳號資訊已經儲存"
"Action","操作"
"Action type does\'t recognized","不能辨認操作類型"
"Action type does\'t recognized.","不能辨認操作類型"
"Action type doesn\'t recognized.","不能辨認操作類型"
"Activate","啟用"
"Activate PayPal Checkout","啟用 PayPal 結帳"
"Activate PayPal MECL","啟用 PayPal MECL"
"Activation Key","啟用密鑰"
"Add","新增"
"Add Action","新增動作"
"Add Address from Contacts","從通訊綠加入地址"
"Add App","增加 App"
"Add Custom","Add Custom"
"Add New Address","新增新地址"
"Add New Template","新增模板"
"Add Page","新增頁面"
"Add To Wishlist","加到待購清單"
"Add a billing address","新增一個帳單地址"
"Add a shipping address","新增一個配送地址"
"Add to Cart","加入購物車"
"Add to Wishlist","新增到待購清單"
"Adding Product to Cart...","正把產品加入購物車..."
"Adding Product to WishList...","正把產品加入待購清單..."
"Additional Address","其他地址"
"Additional Info","其他資訊"
"Address","地址"
"Address 2","地址 2"
"Address Book","通訊錄"
"Address Book Updated","通訊錄更新"
"Address Info","地址資訊"
"Address book is empty","通訊錄是空的"
"Address data not specified.","地址資料不明確"
"Address does not belong to this customer.","地址不屬於這個客戶"
"Address has been deleted.","地址已被刪除"
"Address has been saved.","地址已被儲存"
"Admin Application Settings","管理應用設定"
"Admin Mobile Application","管理行動應用"
"Admin application has not been enabled","管理應用功能沒有啟動"
"Administrative contact for this app and for app submission issues.","這個App與App問題的管理人聯絡方式"
"Advanced Settings","進階設置"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","在送出App到Magento後，請聯絡 <a href=""mailto:%1$s"">%1$s</a> 取得程式金鑰(Application Key), 應用程式安全金鑰(Application Secret)和應用程式主安全金鑰(Application Master Secret)"
"AirMail Message Queue","航空郵件消息隊列"
"AirMail Messages Queue","航空郵件消息隊列"
"AirMail Template Preview","航空郵件模板預覽"
"AirMail message","航空郵件消息"
"AirMail templates","航空郵件模板"
"All Allowed Countries","所有允許國家"
"All Images","所有圖案"
"All locations","所有位置"
"Amount","數量"
"Amount in %@","%@的數量"
"Amounts","數量"
"An account with this email address already exists.","用這個E-mail的帳號已經存在。"
"An error occurred while adding item to wishlist.","加入產品待購清單時發生一個錯誤。"
"An error occurred while deleting the address.","刪除地址時發生一個錯誤。"
"An error occurred while loading categories.","載入分類時發生一個錯誤。"
"An error occurred while loading category filters.","載入分類過濾器時發生一個錯誤。"
"An error occurred while loading configuration.","載入設定時發生一個錯誤。"
"An error occurred while loading localization.","載入本地設定時發生錯誤。"
"An error occurred while loading login form.","載入登入表單時發生錯誤。"
"An error occurred while loading wishlist.","載入待購清單時發生一個錯誤。"
"An error occurred while processing your order. Please contact us or try again later.","處理您訂單時發生一個錯誤，請聯絡我們或是稍後嘗試。"
"An error occurred while processing your request.","處理您的要求時發生一個錯誤。"
"An error occurred while removing item from wishlist.","從待購清單移除一個項目時發生錯誤。"
"An error occurred while removing items from wishlist.","處理您的要求時發生一個錯誤。"
"An error occurred while removing item from wishlist.","從待購清單移除項目時發生一個錯誤"
"Analytics","分析"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android 不支援 AirMail類型的訊息"
"App Background","App背景"
"App Background (landscape mode)","App背景 (橫式模式)"
"App Background (landscape mode).","App背景 (橫式模式)"
"App Background (portrait mode)","App背景 (直式模式)"
"App Background (portrait mode).","App背景 (直式模式)"
"App Background image missing.","找不到App背景圖片"
"App Code","App代碼"
"App Information","App資訊"
"App Name","App名稱"
"App Stores","App店舖"
"App Submission History","App提交歷史"
"App Title","App標題"
"App code","App code"
"App code required.","需要App代碼"
"App does not exist.","不存在這個App"
"App has been deleted.","App已經被刪除"
"App has been saved.","App已經被儲存"
"App has been submitted.","App已經被提交"
"App model not loaded.","App模組沒有載入"
"App with specified code does not exist.","有特殊代碼的App不存在"
"Appears in the info section of your app (範例: Copyright 2010 – Your Company, Inc.)","顯示在您應用的資訊介面中（例如：Copyright 2010 – Your Company, Inc.）"
"Application","應用程式"
"Application Key","應用程式金鑰"
"Application Master Secret","應用程式主安全金鑰"
"Application Name","應用程式名稱"
"Application Secret","應用程式安全金鑰"
"應用程式不存在","Application doesn\'t exist."
"Apply","套用"
"Applying Coupon Code","套用優惠券代碼"
"Applying Gift Card %@","套用禮品卡 %@"
"Are you sure you want to cancel a message?","您確定要取消訊息?"
"Are you sure you want to cancel selected records?","您確定要刪除選擇的記錄?"
"Are you sure you want to delete a message?","您確定要刪除訊息?"
"Are you sure you want to delete selected records?","您確定要刪除選擇的記錄?"
"Are you sure you want to delete this theme? This change will affect all applications.","您確定要刪除這個主題？這個改變會影響所有的應用程式。"
"Are you sure you want to do this?","您確定您要執行此操作嗎？"
"Are you sure you want to remove this item?","您確定要移除這個項目嗎?"
"As Low As","最低"
"As Low Excl. Tax","最低(不含稅)"
"As Low Incl. Tax","最低(含稅)"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","身為一個Magentod客戶，Urban Airship提供您無限的推播和進階推播，只要$100/年，且享有60天免費試用。"
"As low as","最低"
"As low as excl. tax","最低(不含稅)"
"As low as incl. tax","最低(含稅)"
"At last one application has to be created.","至少一個應用要被產生"
"At least one option should be selected","至少一個選項要被選起"
"Authentication complete.","完成授權"
"Authentication to %@ did failed...","授權 %@ 失敗..."
"Average Order Amount","平均訂單數量"
"Average Orders","平均訂單"
"Average Rating","平均分數"
"Back","返回"
"Back to App Edit","返回App編輯"
"Background Color","背景色"
"Balance","損益平衡"
"Balance Change","損益平衡改變"
"Balance History","損益平衡歷史記錄"
"Banner on Home Screen","主介面的廣告"
"Banner on Home Screen (landscape mode)","主介面的廣告 (橫式模式)"
"Banner on Home Screen (landscape mode) image missing.","主介面的廣告 (橫式模式) 找不到圖片"
"Banner on Home Screen (portrait mode)","主介面的廣告(直式模式)"
"Banner on Home Screen (portrait mode) image missing.","主介面的廣告(直式模式) 找不到圖片"
"Banner on Home Screen image missing.","主介面的廣告找不到圖片"
"Banners on Home Screen","主介面的廣告"
"Best Sellers","暢銷品"
"Billing","帳單"
"Billing Address","帳單地址"
"Billing address","帳單地址"
"Billing address has been set.","帳單地址已經設定"
"Bundle Products","產品組合"
"Buy %1$s for %2$s","為＄%2 購買 ＄%1"
"Buy %1$s for %2$s (%3$s incl. tax) each","為每 ＄%2（＄%3 含稅）購買 ＄%1"
"Buy %1$s for %2$s each","為每 ＄%2 購買 ＄%1"
"Buy %1$s with %2$s discount each","每買 ＄%1 有 ＄%2 折扣"
"Buy More & Save","買越多省越多"
"Buyer country is not allowed by store.","店家不接受這個國家的買家"
"CMS Page","CMS頁面"
"CMS Pages haven\'t been found.","沒有找到CMS頁面"
"Cache Lifetime (seconds)","快取壽命（秒）"
"Cache Management","快取管理"
"Can\'t add item to shopping cart.","不能把項目加到購物車"
"Can\'t apply the coupon code.","不能使用優惠券"
"Can\'t copy file ""%s"" to ""%s"".","不能複製檔案 ""%s"" 到 ""%s"""
"Can\'t create wishlist.","不能產生待購清單"
"Can\'t delete ""%s"" theme.","不能刪除主題"
"Can\'t load XML.","不能載入XML"
"Can\'t load admin application settings.","不能載入管理應用設定"
"Can\'t load application with id ""%s""","不能載入管理應用代碼 ""%s"""
"Can\'t load cart info.","不能載入購物車資訊"
"Can\'t load cart.","不能載入購物車"
"Can\'t load customer form.","不能載入客戶表格"
"Can\'t load default themes.","不能載入預設主題"
"Can\'t load selected theme. Please check your media folder permissions.","不能載入選擇的主題，請檢查您多媒體資料夾的權限設定"
"Can\'t load template with id ""%s""","不能載入代碼""%s""的模板"
"Can\'t open submission form.","不能打開提交的表格"
