"All Websites","所有網站"
"Apply Discounts To FPT","套用折扣到產品固定稅"
"Apply Tax To FPT","套用稅率到產品固定稅"
"Display Prices In Emails","在電子郵件中顯示價格"
"Display Prices In Product Lists","在產品列表中顯示價格"
"Display Prices In Sales Modules","在銷售模組中顯示價格"
"Display Prices On Product View Page","在產品顯示頁面顯示價格"
"Enable FPT","啟用產品固定稅"
"Excluding FPT","不包含產品固定稅"
"Excluding FPT, FPT description, final price","不包含產品固定稅，產品固定稅描述，最終價格"
"Fixed Product Tax","產品固定稅"
"Fixed Product Taxes","產品固定稅"
"Include FPT In Subtotal","小計中包含產品固定稅"
"Including FPT and FPT description","包含 產品固定稅和產品固定稅描述"
"Including FPT and FPT description [incl. FPT VAT]","包含產品固定稅和產品固定稅描述[包含產品固定稅增值稅]"
"Including FPT only","只含產品固定稅"
"Total","總計"
"Total Incl. Tax","含稅總計"
"Total excl. tax","未稅總計"
"Total incl. tax","含稅總計"
